ParticleID,InitialSpeed(m/s),InitialPosX(m),InitialPosY(m),InitialPosZ(m),CollisionType,MinEarthDistance(m),MinJupiterDistance(m)
0,33897.03846668297,155890929944.90198,241599970.79316023,-920474630.6257198,0,868223724.5220722,870460584031.1703
1,33907.0105620704,155890711621.20996,241587430.53573862,-923280351.0620102,0,870590307.3813672,870460473779.2634
2,33892.48267526488,155889989897.53943,241010999.24966854,-923940552.9188106,0,871146928.1899288,870459578583.1687
3,33923.67547068645,155891064821.4676,241454252.85369867,-920070550.59881,0,877121688.3069788,870460555174.507
4,33912.30749546084,155889076239.0429,241542062.6907301,-922418117.3357054,0,874487999.113816,870459369069.8539
5,33907.48505458459,155888849057.9594,242004801.44205287,-919412916.637214,0,873679648.5726434,870459532004.8142
6,33911.049273135606,155888531017.76715,240001520.5070243,-920985039.1885617,0,873392063.7838635,870457820564.1145
7,33899.90407465228,155889278709.83133,239696256.129631,-922037984.5340534,0,866550334.7173309,870458087071.5957
8,33904.84104644148,155889739434.62476,240195829.60089132,-920526978.2854973,0,871467047.6586123,870458744061.5933
9,33917.149089649196,155890310053.3206,242403895.02390096,-922014540.9853709,0,874146697.5520343,870460817493.0656
10,33907.75643250783,155891278047.58554,240961266.58877808,-920364803.771644,0,869705364.7403455,870460320356.472
11,33914.816361854144,155890159630.4517,241911551.32221255,-919365405.1777335,0,874334117.3980341,870460306853.2518
12,33914.3194541098,155890467620.5034,241776847.13729522,-921639177.4840605,0,874198734.427788,870460436664.0642
13,33912.42573393797,155889254229.48798,242264315.71732152,-923128281.9945192,0,878301685.6197076,870460046744.1157
14,33913.11541514486,155889557747.34076,239678683.23345667,-922065400.1564585,0,875666326.3054554,870458255427.2682
15,33920.549385497165,155889001367.0513,241139031.00716957,-921309299.9915514,0,878421424.4655627,870458999494.3119
16,33920.6606182887,155891682589.41388,241941900.6051873,-921871653.1444628,0,875690352.6742017,870461352750.9822
17,33906.133063407004,155889512133.57486,242359396.42136586,-921738930.3544732,0,874907343.1073159,870460265364.4524
18,33905.989305877745,155889239176.20087,242014943.82035226,-921387760.3846058,0,871788002.7872529,870459820403.9614
19,33920.166374279885,155890076644.1028,240976187.84729233,-921444146.2875417,0,882680792.0719635,870459572726.9979
20,33903.455647605624,155891303526.23154,241850911.20786333,-921916644.1523433,0,874903278.1389166,870461040013.4669
21,33900.72927893989,155890605392.0655,241720946.7296064,-923083332.6796695,0,869393883.0045696,870460504863.6028
22,33886.386737815905,155888984235.58453,243162543.64529952,-921804811.5530207,0,871084807.9532982,870460537400.7968
23,33913.53942120612,155889464334.06418,241651453.44507822,-921992711.6782544,0,874105393.8711481,870459697148.5868
24,33906.19774775545,155892078161.59296,242284725.99334368,-921076107.0433966,0,869189745.1077259,870461857317.147
25,33903.264864530975,155890471074.02887,240547353.15365866,-921483149.1590776,0,870959979.752329,870459499672.4484
26,33922.69985540733,155890452652.44684,240274037.87971005,-921226849.2808627,0,877256417.3752803,870459276397.8699
27,33906.26718981573,155890620877.54547,241571035.07894614,-922805682.5890504,0,872946273.9703466,870460395533.3123
28,33915.955784966245,155891852282.54858,240667526.0388197,-922594228.7416453,0,877530562.927212,870460502054.8191
29,33912.608992334346,155891344281.03046,239508507.04985127,-920769806.6163938,0,873011029.788049,870459261870.8981
30,33906.46809788102,155889709439.38547,240306799.77003893,-922283597.8667285,0,870845286.9266124,870458835350.417
31,33917.286213341824,155891191856.29968,239392956.76171944,-921966662.9053062,0,877686643.7180097,870459092669.8167
32,33917.571283992365,155890245842.8673,242821434.82842636,-922151853.9059973,0,876899708.2944508,870461097711.8215
33,33930.746679620206,155890279261.60175,241101682.41287595,-919895963.4641497,0,874625950.9457368,870459774161.5826
34,33931.3141319549,155890104079.63458,241789373.48083693,-919852315.3898401,0,882829428.6160258,870460187420.7584
35,33886.885495748276,155889776754.87817,241702007.20740026,-921226960.4811233,0,868539132.0832676,870459926362.8864
36,33906.86922604932,155889404852.0442,241931979.66848293,-922115934.7848176,0,873023418.5530787,870459874546.703
37,33918.382826488734,155889093704.28464,240945983.07093045,-921001291.859625,0,875053276.4658705,870458905680.6261
38,33904.7321102825,155890017926.5419,240568693.11916056,-921340950.3580946,0,870501213.5263748,870459221239.017
39,33907.86647346608,155889668958.85077,242170592.51387188,-921193936.3902836,0,875840483.4447236,870460214559.3136
40,33901.23698735941,155889196027.2191,240306731.2101756,-921829883.4243482,0,866403721.2263278,870458495757.6055
41,33900.602415703695,155889216430.48563,240139654.28767604,-921774895.2150594,0,871216931.6021609,870458381183.2037
42,33913.84926687514,155889911015.9188,242086835.0759305,-923115274.3904774,0,873808153.8302464,870460335031.3606
43,33922.583399731964,155889281855.5672,240471875.56899202,-921675143.9799572,0,878109747.9032708,870458676613.9774
44,33901.72483182261,155890375390.57806,241653963.96529952,-921374834.5338919,0,867957442.4525324,870460279197.5566
45,33902.87382447721,155891264936.61493,241992558.65438035,-920926558.3738312,0,872829245.4095073,870461106897.6091
46,33914.9990230524,155891012911.24185,242913906.58261603,-921406549.2583671,0,870254100.0261801,870461652407.2562
47,33915.44018593489,155892554164.898,240347478.19830152,-921389409.4334563,0,871609587.4072833,870460692972.2738
48,33912.70673215094,155887649102.3718,240410185.84823444,-923116090.2332641,0,872042374.0888667,870457593386.7024
49,33906.8909717963,155889841493.16208,240739683.72516143,-922501266.1590573,0,869766000.7435343,870459253881.8049
50,33928.65221220932,155887839945.456,239588977.0314098,-922159885.1317511,0,875268880.4966365,870457076509.9896
51,33913.77983138973,155889484007.2828,239867296.42846245,-920392158.1092032,0,873056566.5933388,870458326684.9418
52,33897.10373643442,155891877499.95813,239645940.72703913,-920459026.7224325,0,868606058.7888464,870459705744.3253
53,33910.66422407287,155888463263.17892,241865306.93637386,-922255093.3978868,0,875178534.5179416,870459217374.2892
54,33912.50976821159,155890312862.00528,241113224.3277282,-920107528.447295,0,876620643.7307556,870459809499.6763
55,33913.51234281386,155891201857.03506,241907642.0481621,-921856587.4747853,0,869811140.8296591,870461013306.5817
56,33891.3743852159,155888536550.5325,240309962.08721438,-920932911.0963576,0,868273386.0441604,870458058724.8212
57,33898.74342365516,155892289997.3144,240269789.9596416,-921063405.6306205,0,866103710.1117975,870460456927.9062
58,33898.44007533481,155890095652.1074,239589392.6810944,-920375174.7586524,0,864961760.1819191,870458509751.9227
59,33922.6104663644,155889969496.77518,239493952.07184136,-921016813.0881462,0,877863997.1917512,870458365975.7723
60,33915.528540433006,155889556122.99268,240111590.36760017,-920520282.2117703,0,875057376.8461508,870458562434.2013
61,33918.75977941955,155889433191.55716,241109098.07961243,-921551771.2564206,0,877098506.3995684,870459257745.951
62,33907.34462011636,155888945379.56235,241376464.6228399,-921610539.6303486,0,872637305.8512152,870459147709.7366
63,33917.427316673806,155890040967.19626,240303305.00520957,-919650133.500389,0,869394825.8326842,870459007779.9501
64,33904.88025881888,155890336130.65637,240923925.19563696,-920672856.9217554,0,873243963.4987825,870459687873.6293
65,33926.05933808897,155891134895.69168,240391114.45477474,-920806336.3300904,0,877966369.8809325,870459800768.1576
66,33890.14533515716,155889790211.90344,241744020.18614885,-919715408.9588006,0,864030918.3680547,870459945445.3721
67,33914.11808286745,155892188944.70825,242544768.52841985,-921071882.4546804,0,876699405.7179443,870462128567.9777
